NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Markelle Fultz,Orl,G,24.9,60,29.6,21.3,17.0,143,0.783,592,0.544,87,0.31,0.534,0.564,14.0,3.9,5.7,1.5,0.4,2.3,17.9,19.6,23.5,9.2,113.2,109.4
Chris Paul,Pho,G,37.9,59,32.0,19.2,14.6,160,0.831,407,0.482,261,0.375,0.513,0.555,13.9,4.3,8.9,1.5,0.4,1.9,18.1,22.8,27.0,10.1,121.9,109.6
Luguentz Dort,Okc,G,24.0,74,30.7,19.8,9.5,259,0.772,464,0.44,409,0.33,0.466,0.513,13.7,4.6,2.1,1.0,0.3,1.2,18.3,15.8,20.4,6.6,109.3,108.1
Malik Monk,Sac,G,25.2,77,22.3,25.8,15.5,207,0.889,398,0.538,398,0.359,0.538,0.587,13.5,2.6,3.9,0.6,0.3,1.9,16.2,17.4,20.0,9.2,113.9,112.6
Malik Beasley,Uta,G,26.4,55,26.7,21.3,8.2,44,0.841,198,0.485,471,0.359,0.522,0.535,13.4,3.6,1.7,0.8,0.1,1.1,17.0,15.1,18.7,6.5,107.2,115.3
Rudy Gobert,Min,C,30.8,70,30.7,16.3,18.3,340,0.644,543,0.663,3,0.0,0.659,0.675,13.4,11.6,1.2,0.8,1.4,1.7,25.0,14.7,26.3,7.4,128.1,103.9
Jusuf Nurkic,Por,C,28.6,52,26.7,22.2,19.1,192,0.661,386,0.567,119,0.361,0.561,0.589,13.3,9.1,2.9,0.8,0.8,2.3,22.4,16.2,25.3,10.6,112.7,104.0
John Collins,Atl,F-C,25.5,71,30.0,17.0,10.0,178,0.803,467,0.619,240,0.292,0.557,0.593,13.1,6.5,1.2,0.6,1.0,1.1,19.6,14.3,20.8,6.2,116.7,108.2
Eric Gordon,Hou,G,34.3,47,30.2,18.1,14.8,135,0.815,233,0.536,245,0.347,0.528,0.572,13.1,2.1,2.9,0.6,0.4,1.8,15.1,16.0,18.0,5.7,112.6,122.2
Cole Anthony,Orl,G,22.9,60,25.9,21.5,13.0,170,0.894,404,0.5,206,0.364,0.516,0.57,13.0,4.8,3.9,0.6,0.5,1.5,17.8,16.9,21.7,9.6,116.8,106.3
